time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2662,530,152,407040,-0.00011984726208740742,3.4055769443511963,0.7761324048042297,1587,0.2,3.0861246064305305,0.0,0.00025,-6.2335004e-09,8.542750341196855e-07,-6609.319122,74414.25
2669,531,152,407808,-9.260568155392927e-05,1.0701072216033936,0.8955255746841431,1590,0.2,1.5046563338902261,0.0,0.00025,-7.0812476e-09,4.6295786483420267e-07,-6609.319122,74414.25
2674,532,152,408576,-0.00010141529694212497,2.9935712814331055,0.8975760340690613,1593,0.2,2.334871646016836,0.0,0.00025,-5.8472214e-09,4.096170111248891e-07,-6609.319122,74414.25
2679,533,152,409344,-7.703354933457579e-05,0.700860321521759,0.8995289206504822,1596,0.2,1.75744484571947,0.0,0.00025,-2.9433862e-09,3.333164689441522e-07,-6609.319122,74414.25
2683,534,152,410112,-8.328065157709514e-05,2.5501298904418945,0.8442981243133545,1599,0.2,2.2336395705739656,0.0,0.00025,-3.2833831e-09,3.9633272940085993e-07,-6609.319122,74414.25
2688,535,152,410880,-0.00010154708130964234,1.7423732280731201,0.8350012302398682,1602,0.2,1.9540646870930989,0.0,0.00025,-3.0427483e-09,2.516769907540745e-07,-6609.319122,74414.25
2693,536,152,411648,-0.00012881641325495567,1.3570352792739868,0.8814333081245422,1605,0.2,1.6446829761068027,0.0,0.00025,-5.0432276e-09,2.8792742846740617e-07,-6609.319122,74414.25
2697,537,152,412416,-0.00013004892550977983,1.3108071088790894,0.9178844094276428,1608,0.2,2.061497065756056,0.0,0.00025,-5.329133e-09,1.3600543348325624e-07,-6609.319122,74414.25
2705,538,152,413184,-0.00014018830026745692,0.5654167532920837,0.9438256025314331,1611,0.2,1.274701826688316,0.0,0.00025,3.2142813e-09,3.206530689365334e-07,-6609.319122,74414.25
2709,539,152,413952,-0.00014366499645903887,1.6121981143951416,0.9312843084335327,1614,0.2,0.986344171067079,0.0,0.00025,-3.124073e-10,8.952985000279215e-08,-6609.319122,74414.25
2714,540,152,414720,-0.0001641522648141189,1.4072240591049194,0.7544357180595398,1617,0.2,1.9160110706256495,0.0,0.00025,-2.464045e-09,2.5428663421836165e-07,-6609.319122,74414.25
2719,541,152,415488,-0.00021121047636067183,1.6697942018508911,0.8957763910293579,1620,0.2,1.4366896748542786,0.0,0.00025,-1.6251528e-09,5.733195899261368e-07,-6646.26508182353,74976.23529411765
2723,542,152,416256,-0.00027403662574619777,314.62164306640625,-0.0926438570022583,1623,0.2,72.2607635623879,0.0,0.00025,-3.0580114e-09,4.551308746967051e-06,-6646.26508182353,74976.23529411765
2728,543,152,417024,-0.00023023790890874807,1.0578734874725342,0.23112404346466064,1626,0.2,2.8498904340797,0.0,0.00025,-2.4864761e-09,1.3007665984332561e-06,-6646.26508182353,74976.23529411765
2732,544,152,417792,-0.0002858308867467309,1.085321068763733,0.6604276299476624,1629,0.2,1.1399190914299753,0.0,0.00025,-2.4720375e-09,1.0977415109260214e-06,-6646.26508182353,74976.23529411765
2740,545,152,418560,-0.00030800932068410073,1.0973608493804932,0.7280579805374146,1632,0.2,1.6122671676178773,0.0,0.00025,-4.239921e-09,4.965161982302865e-07,-6646.26508182353,74976.23529411765
2746,546,152,419328,-0.00044222799503283267,0.7948301434516907,0.7112883925437927,1635,0.2,2.026101721657647,0.0,0.00025,-1.8259408e-09,7.036659452650282e-07,-6646.26508182353,74976.23529411765
2750,547,152,420096,-0.0005693633037379994,2.7051427364349365,0.7574812173843384,1638,0.2,1.9625875428318977,0.0,0.00025,4.0649914e-10,1.4880206435918808e-06,-6646.26508182353,74976.23529411765
