time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
4195,103.45446016,175,1033.71,120,737280,0.0038060880951888976,0.2,0.03087237,0.9662778973579407,-6.732351904114087,4.496031284332275,9.968418429295221,476,0.35205078125,0.00025
4230,114.56459019000002,175,1099.0,121,743424,0.004139692799071781,0.2,0.02566476,0.9686035513877869,-6.604827428857486,2.7239668369293213,9.112312013904253,480,0.3465576171875,0.00025
4265,114.80893522999999,175,1084.44,122,749568,0.007956733121924723,0.2,0.023754954,0.9795268774032593,-6.650157620509465,3.9127745628356934,8.043213148911795,484,0.3013509114583333,0.00025
4299,123.12265516,175,1156.36,123,755712,0.009385138056435002,0.2,0.040126443,0.9724979400634766,-6.686221381028493,3.894716739654541,11.175886616110802,488,0.378662109375,0.00025
4335,120.07531018000002,175,1206.56,124,761856,0.010632363249897026,0.2,0.031224124,0.968145489692688,-6.777601669232051,3.050250768661499,9.627585311730703,492,0.3845621744791667,0.00025
4372,119.05194511999998,175,1178.71,125,768000,0.019826275020022877,0.2,0.044385955,0.9612455368041992,-6.756095622976621,3.1416845321655273,8.874905223647753,496,0.4247233072916667,0.00025
4405,119.23881001000001,175,1169.11,126,774144,0.0037788717721317275,0.2,0.029737249,0.9632066488265991,-6.796533182263374,3.6776790618896484,11.776767472426096,500,0.3461507161458333,0.00025
4438,116.47470005,175,1238.4,127,780288,0.01064003846840933,0.2,0.027031502,0.9656640291213989,-6.692298387487729,3.3141796588897705,9.183679883678755,504,0.37255859375,0.00025
4471,111.48636006999999,175,1309.21,128,786432,0.007927693443586273,0.2,0.024884822,0.9707675576210022,-6.757077112793922,2.4858522415161133,8.211024115482966,508,0.3172200520833333,0.00025
4508,95.61400012000001,175,1322.41,129,792576,0.0076533612664206885,0.2,0.024204662,0.9682401418685913,-6.745584944883983,3.2184488773345947,8.234640285372734,512,0.3072102864583333,0.00025
4544,83.85874017000002,175,1283.97,130,798720,0.014384972273546737,0.2,0.04841091,0.9780540466308594,-6.686394477883975,3.2425429821014404,7.908685142795245,516,0.4127197265625,0.00025
4574,63.15138014000001,175,1360.05,131,804864,0.004331016760261264,0.2,0.030586967,0.953320324420929,-6.535975004235904,6.553799152374268,20.3602298895518,520,0.3265787760416667,0.00025
4611,62.63634508999999,175,1369.55,132,811008,0.008340828971995506,0.2,0.029165542,0.9628337621688843,-6.519807333747546,4.398411273956299,14.848444432020187,524,0.2738850911458333,0.00025
4642,66.39081509,176,1368.84,133,817152,0.004737164034546974,0.2,0.02309449,0.9578059911727905,-6.609492232402165,3.0112643241882324,9.293110713362694,528,0.3264567057291667,0.00025
4674,79.09713998000001,176,1326.89,134,823296,0.009215684888962036,0.2,0.02267432,0.964657723903656,-6.668139293789864,3.137711524963379,8.964422971010208,532,0.3409830729166667,0.00025
4714,77.91399992999999,175,1269.99,135,829440,0.0008930658926450027,0.2,0.03237449,0.970844566822052,-6.6485113352537155,3.084806442260742,8.011884793639183,536,0.2858072916666667,0.00025
4747,100.77257988000001,175,1158.81,136,835584,0.01879604731220752,0.2,0.030519238,0.9621533751487732,-6.560907423496246,3.8630547523498535,12.100058684746424,540,0.4117431640625,0.00025
4779,94.77180485,176,1071.76,137,841728,0.00822725857142359,0.2,0.028360486,0.96242356300354,-6.678360377748807,5.452394962310791,14.159824162721634,544,0.35595703125,0.00025
4815,91.64111486000002,176,1088.47,138,847872,0.018767543539676506,0.2,0.027111804,0.9633752107620239,-6.750717307130496,4.516997814178467,10.535018016894659,548,0.4046223958333333,0.00025
4849,94.02040490000002,176,1133.13,139,854016,0.01229348081384766,0.2,0.038100865,0.9565904140472412,-6.635950744152069,4.276923179626465,11.986084540685018,552,0.35693359375,0.00025
4889,94.99692991000002,175,1170.99,140,860160,0.009085847001794415,0.2,0.027443975,0.9731085300445557,-6.582940657933553,2.7083916664123535,8.862639685471853,556,0.3361002604166667,0.00025
