time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/explained_variance
288768,376,1777,162,-7.960189229912228,0.026709422,0.00025,1019.0,9.531549483537674,5.871705532073975,1125,0.34765625,0.00785849719411797,0.2,-23692.8,0.9339873790740967
289536,377,1781,162,-8.059679521454704,0.065722175,0.00025,1019.0,15.09006948603524,4.039065361022949,1128,0.3940972222222222,0.02472300898645901,0.2,-23580.3,0.914405882358551
290304,378,1786,162,-7.969142688645257,0.025311902,0.00025,1019.0,9.74852443072531,4.347750663757324,1131,0.3033854166666667,0.0023413714823416537,0.2,-23580.3,0.9378140568733215
291072,379,1790,162,-8.098295470078787,0.037934024,0.00025,1019.0,15.21819269657135,7.328417778015137,1134,0.3454861111111111,0.019568398232675262,0.2,-23655.5,0.8663524389266968
291840,380,1795,162,-7.870339135328929,0.032602787,0.00025,1019.0,5.563168176346355,2.448636293411255,1137,0.3051215277777778,0.00335463267725168,0.2,-23655.5,0.9554728865623474
292608,381,1799,162,-7.918761359320746,0.066670574,0.00025,1019.0,12.232034938202965,7.361309051513672,1140,0.5121527777777778,0.01993833092920896,0.2,-23415.98,0.892223060131073
293376,382,1803,162,-7.897618114948273,0.03259552,0.00025,1019.0,14.250718623399734,23.153493881225586,1143,0.3463541666666667,0.005777070195310646,0.2,-23415.98,0.9284777045249939
294144,383,1810,162,-7.974799149566227,0.07649987,0.00025,1019.0,8.738287544912762,2.942594528198242,1146,0.5121527777777778,0.034601508329312004,0.2,-23234.96,0.8749409914016724
294912,384,1815,162,-7.792028513219622,0.02363055,0.00025,1019.0,9.312421027157042,2.377333164215088,1149,0.3051215277777778,0.014109274993340174,0.2,-23234.96,0.9407123923301697
295680,385,1819,162,-7.969351119465298,0.040548876,0.00025,1019.0,13.111102220084932,5.365911483764648,1152,0.3446180555555556,0.027771345430260733,0.2,-22917.52,0.8454874157905579
296448,386,1824,162,-7.910696473386553,0.02460582,0.00025,1019.0,7.258724242448807,2.6991655826568604,1155,0.2517361111111111,-0.000856020701273034,0.2,-22917.52,0.9359534978866577
297216,387,1828,162,-7.944313751326667,0.04570341,0.00025,1019.0,14.787585231992933,8.765192985534668,1158,0.4934895833333333,0.015371726373107068,0.2,-22696.98,0.8535546064376831
297984,388,1832,162,-7.884110556708442,0.023539463,0.00025,1019.0,6.165046870708466,2.7841086387634277,1161,0.2465277777777778,-0.0006918098208391004,0.2,-22696.98,0.9645087122917175
298752,389,1837,162,-7.876435021559398,0.05926923,0.00025,1019.0,9.946608278486464,8.962848663330078,1164,0.4934895833333333,0.024292025799190417,0.2,-22554.18,0.9323782324790955
299520,390,1844,162,-7.805259333716498,0.033768013,0.00025,1019.0,5.329887476232317,1.1235976219177246,1167,0.3129340277777778,0.0036218708588017356,0.2,-22554.18,0.9628783464431763
300288,391,1848,162,-7.90045099788242,0.073367536,0.00025,1019.0,10.81106228629748,8.228995323181152,1170,0.4956597222222222,0.03256992116156551,0.2,-22410.56,0.9091403484344482
301056,392,1853,162,-7.90284460120731,0.03294524,0.00025,1019.0,7.605082074801127,5.344539165496826,1173,0.3246527777777778,-0.001269754339268224,0.2,-22410.56,0.9527401924133301
301824,393,1857,162,-8.009561326768663,0.037443724,0.00025,1019.0,11.117575314309862,4.1018877029418945,1176,0.3784722222222222,0.004223308047383196,0.2,-22368.74,0.9332070350646973
302592,394,1862,162,-7.923528393109639,0.024123078,0.00025,1019.0,6.833816414078076,3.1540470123291016,1179,0.3033854166666667,0.003752873628400266,0.2,-22368.74,0.9313893914222717
303360,395,1866,162,-8.066923207706875,0.04791695,0.00025,1019.0,12.065929349925783,2.189802885055542,1182,0.3910590277777778,0.02683698477792657,0.2,-22519.68,0.8779391646385193
304128,396,1871,162,-7.9361827572186785,0.03215842,0.00025,1019.0,6.749370108048121,2.692413330078125,1185,0.2847222222222222,0.007739806664176285,0.2,-22519.68,0.9526750445365906
304896,397,1878,162,-8.08450218041738,0.05963989,0.00025,1019.0,10.166208416223526,3.1439599990844727,1188,0.4188368055555556,0.02346106218950202,0.2,-22567.22,0.8733346462249756
305664,398,1882,162,-7.933361927668254,0.028321229,0.00025,1019.0,6.982524457905027,2.9893479347229004,1191,0.2938368055555556,0.012523055975584107,0.2,-22567.22,0.9442858695983887
306432,399,1887,162,-8.071661286883884,0.04617794,0.00025,1019.0,12.851319041517046,5.407349586486816,1194,0.3780381944444444,0.0244956944629343,0.2,-22540.4,0.8363372087478638
307200,400,1892,162,-7.856965316666497,0.02767782,0.00025,1019.0,5.993462847338782,4.669930458068848,1197,0.2799479166666667,0.0049112951124293935,0.2,-22540.4,0.9486037492752075
307968,401,1897,162,-7.899998095300463,0.03367297,0.00025,1019.0,15.134331193235186,7.394521713256836,1200,0.3967013888888889,0.025939101818948984,0.2,-22388.26,0.7705050706863403
308736,402,1901,162,-7.905422078238593,0.03427544,0.00025,1019.0,6.5984470049540205,2.6449241638183594,1203,0.23958333333333334,-0.004084687835226457,0.2,-22388.26,0.9296944737434387
309504,403,1905,162,-7.924652126100328,0.028932666,0.00025,1019.0,16.27034647597207,7.3785834312438965,1206,0.3493923611111111,0.01472205898931457,0.2,-22297.82,0.8352970480918884
310272,404,1913,162,-7.8033679657512245,0.023374133,0.00025,1019.0,8.936710168917974,5.600541591644287,1209,0.2712673611111111,-0.006399498605686758,0.2,-22297.82,0.9152958989143372
311040,405,1917,162,-7.86658697658115,0.034518167,0.00025,1019.0,22.423032290405697,3.3322935104370117,1212,0.4058159722222222,0.014671379150564058,0.2,-22217.45,0.7721431255340576
311808,406,1921,162,-7.7939108742607965,0.028233951,0.00025,1019.0,8.482981388767561,0.6295103430747986,1215,0.2738715277777778,0.002953724754560325,0.2,-22217.45,0.9301471710205078
