,x_position,y_position,checkpoints,surfaces,speed
268,3471,1607,1,64,234
269,3457,1603,1,64,218
270,3444,1599,2,64,202
271,3433,1594,2,64,186
272,3423,1588,2,64,170
273,3416,1581,2,64,154
274,3409,1575,2,64,138
275,3405,1568,2,64,122
276,3401,1562,2,64,106
277,3397,1557,2,64,90
278,3394,1552,2,64,74
279,3391,1549,2,64,88
280,3387,1544,2,64,112
281,3382,1538,2,64,134
282,3377,1532,2,64,150
283,3370,1525,2,64,166
284,3362,1517,2,64,182
285,3353,1510,2,64,202
286,3342,1503,2,64,234
287,3328,1496,2,64,270
288,3311,1491,2,64,264
289,3296,1488,2,64,243
290,3281,1485,2,64,227
291,3267,1483,2,64,211
292,3255,1481,3,64,195
293,3243,1479,3,64,179
294,3232,1477,3,64,163
295,3223,1474,3,64,147
296,3215,1470,3,64,131
297,3208,1466,3,64,115
298,3203,1462,3,64,99
299,3198,1459,3,64,83
300,3194,1456,3,64,67
301,3191,1454,3,64,51
302,3189,1452,3,64,35
303,3187,1451,3,64,37
304,3185,1450,3,64,27
305,3184,1449,3,64,11
306,3184,1449,3,64,0
307,3184,1449,3,64,0
308,3184,1449,3,64,0
309,3184,1449,3,64,0
310,3184,1449,3,64,0
311,3184,1449,3,64,0
312,3184,1449,3,64,0
313,3184,1449,3,64,0
314,3184,1449,3,64,0
315,3184,1449,3,64,0
316,3184,1449,3,64,0
317,3184,1449,3,64,0
318,3184,1449,3,64,0
319,3184,1449,3,64,0
320,3184,1449,3,64,0
321,3184,1449,3,64,0
322,3184,1449,3,64,0
323,3184,1449,3,64,0
324,3184,1449,3,64,0
325,3184,1449,3,64,0
326,3184,1449,3,64,0
327,3184,1449,3,64,0
328,3184,1449,3,64,0
329,3184,1449,3,64,0
330,3184,1449,3,64,6
331,3183,1448,3,64,14
332,3183,1448,3,64,4
333,3183,1448,3,64,0
334,3182,1448,3,64,6
335,3182,1448,3,64,14
336,3181,1447,3,64,22
337,3180,1446,3,64,30
338,3178,1445,3,64,38
339,3176,1443,3,64,46
340,3174,1441,3,64,54
341,3171,1439,3,64,62
342,3167,1437,3,64,82
