time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
110592,726,152,144,0.00025,0.041034225,0.2,0.9401427507400513,9.671085357666016,0.02532715175766498,-24143.52,0.3728298611111111,429,-6.667888502279918,1019.0,30.764937625990974
111360,731,152,145,0.00025,0.048679788,0.2,0.983660876750946,8.126594543457031,0.020258356170314882,-24143.52,0.4270833333333333,432,-6.617027289337582,1019.0,13.656813744041655
112128,736,152,146,0.00025,0.03110834,0.2,0.9332228899002075,6.244908809661865,0.033663983223959804,-23838.82,0.4366319444444444,435,-6.73509328895145,1019.0,32.11260939968957
112896,743,151,147,0.00025,0.03334565,0.2,0.9896431565284729,5.834056377410889,0.012070748748050796,-23838.82,0.3780381944444444,438,-6.720171948273976,1019.0,14.161682820982403
113664,749,151,148,0.00025,0.041893665,0.2,0.9289063811302185,7.918096542358398,0.012630758056831028,-23580.64,0.3884548611111111,441,-6.881169385380215,1019.0,37.37354115313954
114432,754,151,149,0.00025,0.14614387,0.2,0.9864734411239624,5.277584075927734,0.03089102446230956,-23580.64,0.5056423611111112,444,-6.561447223027547,1019.0,11.230100456211302
115200,758,151,150,0.00025,0.039822135,0.2,0.9294847249984741,4.118867874145508,0.03936089398404066,-23293.6,0.4470486111111111,447,-6.675313552220662,1019.0,35.58198033769926
115968,763,151,151,0.00025,0.057996523,0.2,0.9837074279785156,4.943138599395752,0.023654323873213597,-23293.6,0.4322916666666667,450,-6.462379799948798,1019.0,11.903802745872074
116736,768,151,152,0.00025,0.043130834,0.2,0.9322792887687683,12.579523086547852,0.028630420384514663,-23036.46,0.4370659722222222,453,-6.626554462644789,1019.0,28.613076945145924
117504,775,151,153,0.00025,0.041445967,0.2,0.9782215356826782,4.308246612548828,0.013589605844269196,-23036.46,0.3828125,456,-6.4771991107198925,1019.0,14.552791188160578
118272,779,151,154,0.00025,0.05825141,0.2,0.9385998845100403,7.709351539611816,0.04327048371649451,-22721.08,0.4509548611111111,459,-6.740211188793182,1019.0,27.150147318840027
119040,784,151,155,0.00025,0.086529635,0.2,0.9774534106254578,4.4157562255859375,0.03365629960575865,-22721.08,0.4201388888888889,462,-6.512635164790684,1019.0,11.340208258893755
119808,789,151,156,0.00025,0.07155776,0.2,0.9212513566017151,8.5140962600708,0.053874959962235555,-22453.54,0.4796006944444444,465,-6.526886522769928,1019.0,28.265969839360977
120576,793,151,157,0.00025,0.06540879,0.2,0.9647049307823181,9.759211540222168,0.016570415606515274,-22453.54,0.4405381944444444,468,-6.58532718817393,1019.0,16.890151407983566
121344,798,152,158,0.00025,0.07066086,0.2,0.9126970767974854,5.394455909729004,0.0670887011801824,-22072.92,0.4127604166666667,471,-6.764227701558007,1019.0,31.988286634286244
122112,802,152,159,0.00025,0.056162328,0.2,0.9572569131851196,7.401804447174072,0.03126467658310301,-22072.92,0.4027777777777778,474,-6.5777784254815845,1019.0,15.624743276172214
122880,809,151,160,0.00025,0.23252583,0.2,0.9222064018249512,10.564118385314941,0.06427462386070854,-21596.18,0.5638020833333334,477,-6.639093710316552,1019.0,25.959930078850853
123648,813,151,161,0.00025,0.04375458,0.2,0.9634839296340942,22.215492248535156,0.014558644215058949,-21596.18,0.3836805555555556,480,-6.635540008544922,1019.0,20.940535333421494
