time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
534528,3104,172,59.176375039999996,87,1284.51,344,0.2,-6.630989919106166,0.00025,0.034485754,0.3308512369791667,0.9515193104743958,0.008049067842269627,18.9785083035628,6.5713396072387695
540672,3138,172,43.759499969999986,88,1268.57,348,0.2,-6.64203201731046,0.00025,0.028032565,0.3359781901041667,0.9554739594459534,0.003424419463650944,19.861046036084492,13.846924781799316
546816,3183,171,68.72629502999999,89,1214.63,352,0.2,-6.5990520765384035,0.00025,0.024159193,0.3409830729166667,0.9689313173294067,0.011336489199796537,9.882273053129515,4.437896728515625
552960,3227,171,69.91384499,90,1220.79,356,0.2,-6.633339752753575,0.00025,0.023650685,0.4002685546875,0.9702033400535583,0.010669845903369909,11.886103396614393,3.9942049980163574
559104,3264,171,94.76253998,91,1160.31,360,0.2,-6.621169850230217,0.00025,0.037999462,0.3107503255208333,0.956041693687439,0.005275401699085099,15.637242605288824,6.5614013671875
565248,3295,171,94.04783510000001,92,1192.72,364,0.2,-6.368425905704498,0.00025,0.017176,0.2898356119791667,0.9566746950149536,0.007002176492581687,16.798105090856552,6.846123695373535
571392,3333,171,99.32427513000002,93,1222.81,368,0.2,-6.340400432546933,0.00025,0.04449579,0.4225667317708333,0.971827507019043,0.017209816374816,9.516545241077742,5.442992210388184
577536,3368,171,103.20115009999999,94,1127.05,372,0.2,-6.318640773495038,0.00025,0.03000178,0.4320068359375,0.9657055735588074,0.014970218355301768,11.117888713876406,5.033975124359131
583680,3402,171,87.68176012999999,95,1124.96,376,0.2,-6.369551882147789,0.00025,0.03355989,0.3467610677083333,0.9572193026542664,0.005504740147443954,21.41548369328181,7.735701560974121
589824,3434,171,85.96476510999999,96,1133.28,380,0.2,-6.597390527526538,0.00025,0.024632782,0.3173421223958333,0.950560450553894,0.0063168492779368535,16.2414324482282,5.557612419128418
595968,3468,171,68.66667009000001,97,1170.95,384,0.2,-6.555546681086223,0.00025,0.037060406,0.3597412109375,0.968032956123352,0.012055372552519353,13.366862406333288,7.333526134490967
